"","X","MIC","MAS","MEV","MCN","MIC.R2","GMIC","TIC","variable"
"1",1,0.0726788260616274,0,0.0726788260616274,2,-0.0781873843185363,0.0726788260616282,67.0098776288199,"Brand0"
"2",2,0.0308966269885166,0,0.0308966269885166,2,-0.00943562550181781,0.0308966269885174,28.4866900834129,"Brand1"
"3",3,0.00246280381053715,0,0.00246280381053715,2,-0.00138480221227384,0.00246280381053719,2.27070511331527,"Brand2"
"4",4,0.00905672038319114,0,0.00905672038319114,2,0.0021629912097955,0.00905672038319101,8.35029619330234,"Brand3"
"5",5,0.0381238873744204,0,0.0381238873744204,2,-0.0307576039461115,0.03812388737442,35.1502241592158,"Brand5"
"6",6,0.00877749121992612,0,0.00877749121992612,2,-0.00529523949245144,0.00877749121992599,8.09284690477201,"Brand6"
"7",7,0.0355571964958333,0,0.0355571964958333,2,0.00686341016061359,0.0355571964958329,32.7837351691585,"Brand7"
"8",8,0.110209055604556,0,0.110209055604556,2,0.00538520337545241,0.110209055604558,101.612749267401,"Brand8"
"9",9,0.0581497074905076,0,0.0581497074905076,2,-0.0360980655178625,0.0581497074905064,53.6140303062478,"Brand9"
"10",10,0.0356011156637953,0,0.0356011156637953,2,-0.0227670651136704,0.0356011156637956,32.8242286420189,"Brand10"
"11",11,0.010633918011931,0,0.010633918011931,2,0.00251151312933031,0.0106339180119311,9.8044724070004,"Brand11"
"12",12,0.000221639355338739,0,0.000221639355338739,2,-9.59688737664102e-05,0.000221639355338735,0.204351485622313,"Brand13"
"13",13,0.00598361391151407,0,0.00598361391151407,2,0.00145975028187484,0.00598361391151415,5.51689202641602,"Brand14"
"14",14,0.00587475017145749,0,0.00587475017145749,2,0.00143425585736992,0.00587475017145747,5.41651965808383,"Brand15"
"15",15,0.0369397837100628,0,0.0369397837100628,2,-0.0195378151096599,0.0369397837100621,34.0584805806783,"Brand17"
"16",16,0.00652884544625576,0,0.00652884544625576,2,0.0015868384020584,0.00652884544625578,6.01959550144781,"Brand18"
"17",17,0.0789996434378238,0,0.0789996434378238,2,-0.0458740104317814,0.0789996434378239,72.8376712496746,"Brand19"
"18",18,0.0127744590018354,0,0.0127744590018354,2,-0.00859367481448025,0.0127744590018355,11.7780511996923,"Brand21"
"19",19,0.125339602934983,0,0.125339602934983,2,-0.0438269387200806,0.125339602934981,115.563113906056,"Brand22"
"20",20,0.0167884408457366,0,0.0167884408457366,2,-0.00731549070518461,0.0167884408457365,15.4789424597693,"Brand23"
"21",21,0.0125615583779234,0,0.0125615583779234,2,0.00292596446063472,0.0125615583779235,11.5817568244453,"Brand24"
"22",22,0.00446502041852542,0,0.00446502041852542,2,0.00110053648188877,0.00446502041852542,4.11674882588037,"Brand26"
"23",23,0.0255128619599915,0,0.0255128619599915,2,-0.0099286403468953,0.0255128619599918,23.5228587271126,"Brand27"
"24",24,0.0018261921162679,0,0.0018261921162679,2,-0.000984759320871652,0.00182619211626787,1.68374913119899,"Brand28"
"25",25,0.0143037775082043,0,0.0143037775082043,2,0.00328959023739306,0.014303777508204,13.1880828625641,"Brand30"
"26",26,0.0823393452164394,0,0.0823393452164394,2,-0.076151874935291,0.0823393452164401,75.9168762895573,"Brand31"
"27",27,0.0539092944063478,0,0.0539092944063478,2,-0.0404664541472695,0.0539092944063467,49.7043694426522,"Brand32"
